club_name,club_frase,jugadores,embedding_index
quilmes,quilmes,"Jugadores del club quilmes:
* diego daniel colotto
* matias sarulyte
* facundo gabriel coria
* gabriel nicolas benegas
* cristian damian trombetta
* matias escobar
* ismael benegas arevalos
* gaston ezequiel bottino
* sergio daniel escudero
* tomas leonides lopez
* gaston pinedo
* horacio martin ramirez
* enzo michel acosta
* jose luis valdez
* diego alberto torres
* brandon nicolas obregon
* francesco daniel celeste
* sebastian andres pinto perurena
* cristian andres garcia
* lucas raul giovini schiapino
* fernando emanuel de la fuente
* eduardo mario jesus burruchaga
* nicolas andreas paterno
* walter daniel benitez
* mariano esteban uglessich
* ignacio colombini
* leonel juan daniel bontempo
* damian alejandro malrechauffe verdun
* silvio marcos dulcich arias
* sergio gabriel hipperdinger
* leonel maximiliano demelchori
* matias omar morales
* gustavo david noguera dominguez
* sebastian adolfo ereros
* maximiliano hernan paredes
* franco emmanuel caseres
* leonardo alvarado
* nicolas lopez
* nicolas alejandro cabrera
* alexis pedro canelo
* oscar edmundo vaca ortega
* diego mario buonanotte rende
* federico ezequiel fioramonti
* nestor adrian fernandez palacios
* cristian damian leyes
* flavio german ciampichetti
* genaro agustin vuanello
* diego gaspar diellos
* brian federico cucco ballarini
* christopher alejandro cabral
* miguel eduardo montano bejarano
* jorge antonio serrano",38
quilmes atletico club,quilmes atletico club,"Jugadores del club quilmes atletico club:
* emiliano carrasco
* gonzalo acevedo",39
racing club,racing club,"Jugadores del club racing club:
* gabriel arias arroyo
* maximiliano nicol moralez
* leonardo german sigali
* emiliano gabriel vecchio
* anibal ismael moreno
* gabriel agustin hauche
* leonel ariel miranda
* gonzalo ruben piovi
* enzo nahuel copetti
* emiliano adrian insua zapata
* edwin andres cardona bedoya
* matias nicolas rojas romero
* jonathan david gomez
* johan stiven carbonero balanta
* facundo mura
* carlos jonas alcaraz
* gaston nicolas reniero
* oscar mauricio opazo lara
* hector hugo fertoli
* jonathan sebastian galvan
* maximiliano samuel romero
* ivan alexis pillud
* nicolas adrian oroz
* juan ignacio martin nardoni
* matias nicolas tagliamonte
* juan jose caceres
* maico alejandro quiroz
* roman fernandez
* eugenio esteban mena reveco
* mauricio leonel martinez
* lucas alfonso orban alegre
* tomas alejandro chancalay
* nery andres dominguez
* marcelo javier correa
* gonzalo cordoba
* ignacio galvan
* axel agustin ojeda
* gustavo orlando cortez quinonez
* ivan gabriel maggi
* ignacio piatti
* maximiliano alberto lovera
* gaston viera
* marcelo alfonso diaz rojas
* lorenzo antonio melgarejo sanabria
* luca javier andrada
* evelio ramon cardozo
* sergio daniel juarez
* augusto jorge mateo solari
* federico matias zaracho
* ricardo daniel noir
* carlos raul olses quijada
* matias escudero
* jose luis rodriguez bebanz
* juan manuel sanchez de leon
* rodrigo adrian schlegel
* zander mateo cassierra cabezas
* renzo saravia
* rodrigo nahuel amaral pereira
* gustavo leonardo bou
* lautaro javier martinez
* juan agustin musso
* leonel enzo piedrabuena
* egidio raul arevalo rios
* hector cayetano villalba
* andres felipe ibarguen garcia
* carlos santiago naguel
* marcos javier acuna
* agustin ignacio orion
* luciano roman aued
* angel alejandro garcia
* agustin araujo
* braian alejandro guille
* willian benito candia garay
* wilder andres guisao correa
* diego sebastian saja
* rodrigo javier de paul
* roger beyker martinez tobinson
* carlos rodrigo nunez techera
* diego alberto milito
* mauro ezequiel bazan
* rodrigo ezequiel paillalef
* ezequiel alejandro melillo
* wason libardo renteria cuesta",40
river plate,river plate,"Jugadores del club river plate:
* ignacio martin fernandez
* franco armani
* enzo nicolas perez
* diego nicolas de la cruz arcosa
* matias ezequiel suarez
* milton casco
* paulo cesar diaz huincales
* miguel angel borja hernandez
* ezequiel omar barco
* emanuel mammana
* rodrigo german aliendro
* robert samuel rojas chavez
* agustin palavecino lamela
* bruno zuculini
* hector david martinez
* santiago simon
* pablo solari
* leandro martin gonzalez pirez
* elias jose gomez
* jonathan ramon maidana
* marcelo andres herrera mansilla barrios
* lucas beltran
* claudio matias kranevitter
* jose antonio paradela
* ezequiel ignacio centurion
* franco petroli
* felipe pena
* flabian londono
* juan fernando quintero paniagua
* tomas pochettino
* javier horacio pinola
* julian alvarez
* enzo jeremias fernandez
* braian ezequiel romero
* fabrizio german angileri
* jorge andres carrascal guardo
* leonardo daniel ponzio
* german dario lux
* felipe pena biafore
* rafael santos borre maury
* gonzalo ariel montiel
* jorge luis moreira ferreira
* santiago sosa
* lucas martinez quarta
* joaquin arzura
* ivan rossi
* kevin leonel sibille
* santiago gabriel montiel
* fernando matias benitez
* luciano fabian vera
* martin lombardi
* exequiel alejandro palacios
* camilo sebastian mayada mesa
* gonzalo nicolas martinez
* rodrigo nicanor mora nunez
* luis julian olivera
* marcelo josemir saracchi pintos
* alan marcel picazzo
* lucas nicolas alario
* sebastian driussi
* arturo rafael mina meza
* ivan daniel alonso vallejo
* andres nicolas d'alessandro
* marcelo alberto barovero
* luis oscar gonzalez
* eder fabian alvarez balanta
* gabriel ivan mercado
* tabare uruguay viudez mora
* pablo sebastian carreras
* abel alberto casquete rodriguez
* claudio gabriel salto
* lautaro nahuel arellano
* javier pedro saviola fernandez
* carlos andres sanchez arcosa
* nicolas facundo godoy
* jose ramiro funes mori
* german alejandro pezzella
* fernando ezequiel cavenaghi
* pablo cesar aimar giordano
* diego hermes martinez
* martin sebastian aguirre",41
rosario central,rosario central,"Jugadores del club rosario central:
* victor ignacio malcorra
* carlos gustavo quintana
* gaspar andres servio
* jorge emanuel broun
* juan cruz komar
* damian alberto martinez
* walter ivan alexis montoya
* facundo ezequiel almada
* francis manuel mac allister
* jhonatan marcelo candia hernandez
* alejo veliz
* gino infantino
* francesco lo celso
* ismael cortez
* facundo mallo
* alan nicolas marinelli
* luca leovino martinez dupuy
* luciano ismael ferreyra
* kevin ortiz
* octavio bianchi
* juan pablo romero
* franco frias
* agustin toledo
* lautaro dario giaccone
* juan cruz cerrudo
* fabricio oviedo
* fernando rodriguez
* leonel vergara
* cristian javier baez
* lautaro emanuel blanco
* julian alberto velazquez
* facundo buonanotte
* gustavo adrian ramirez rojas
* mateo tanlongo
* jose david leudo romana
* nazareno romero
* michael o'neal covea uzcategui
* lucas emanuel gamba
* milton joel caraglio
* claudio ariel yacob
* pedro emmanuel ojeda
* ulises ciccioli
* ricardo garay lima
* julio luques
* martin ernesto rabunal rey
* marco gaston ruben rodriguez
* nahuel franco
* fabian andres rinaudo
* diego martin zabala morales
* leandro luis desabato
* rafael sangiovani
* joan mazzaco
* marcelo agustin mino
* diego martin novaretti
* leonel rivas
* rodrigo ivan gonzalez
* alan leonel bonansea
* jeronimo rodriguez
* joel brandon lopez pissano
* andres lioi
* cristian marcelo gonzalez tassano
* jeremias conan ledesma
* miguel angel barbieri
* leonel jonas aguirre avalo
* fernando matias zampedri
* leonardo roque gil
* jarlan junior barrera escalona
* oscar eduardo cabezas segura
* alfonso cristian parot rojas
* german gustavo herrera
* duvan andres vergara hernandez
* facundo emanuel rizzi
* renzo jose ignacio alfani
* nicolas gimenez
* hugo diego arismendi ciapparetta
* angel nahuel gomez
* federico gaston carrizo
* agustin maziero
* agustin coscia
* emilio di fulvio
* paulo andres ferrari
* gustavo alejandro colman
* santiago ernesto romero fernandez
* fernando ruben alarcon
* damian marcelo musto
* esteban rodrigo burgos
* mauro cetto
* cesar fabian delgado godoy
* matias alberto mansilla
* teofilo antonio gutierrez roncancio
* tomas zanotti
* walter ruben acuna
* giovani lo celso
* ezequiel rodriguez
* franco emanuel cervi
* rodrigo andres battaglia
* lucas lazo
* jonatan schulze
* fernando pinero
* jesus fared
* jonatan schulze
* washington sebastian abreu gallo",42
san lorenzo,san lorenzo,"Jugadores del club san lorenzo:
* jose antonio devecchi
* adam fernando bareiro gamarra
* ezequiel osvaldo cerutti
* cristian nahuel barrios
* augusto martin batalla barga
* jalil juan jose elias
* federico agustin gattoni
* agustin martegani
* gaston matias campi
* gonzalo maroni
* alexander diaz
* andres vombergar
* malcom nahuel braida
* gaston hernandez
* carlos manuel insaurralde ochart
* mariano ezequiel peralta bauer
* siro ignacio cabral rosane
* agustin giay
* alex matias ibacache mora
* alexis francisco flores
* diego calcaterra
* jeremias james
* ivan leguizamon
* gonzalo lujan
* tomas silva
* francisco perruzzi
* matias hernandez
* ezequiel herrera
* cristian eduardo zapata valencia
* sebastian alberto torrico
* nestor ezequiel ortigoza
* nicolas blandi
* agustin hausch
* nicolas ezequiel fernandez mercau
* adrian ricardo centurion
* yeison stiven gordillo vargas
* gabriel hernan rojas
* gino peruzzi lucchetti
* luis alberto sequeira
* alejandro cesar donatti
* eduardo garcia
* gonzalo ivan berterame
* francisco galvan
* franco matias di santo
* angel rodrigo romero villamayor
* victor ezequiel salazar
* matias damian palacios
* lautaro mario nahuel lopez kaleniuk
* ramon gines arias quinteros
* bautista merlini
* adolfo julian gaich
* jose antonio vivanco
* gonzalo javier rodriguez
* marcos nicolas senesi baron
* andres jair renteria morelo
* gustavo adolfo torres grueso
* juan camilo salazar hinestrosa
* santiago emanuel gonzalez puga
* robert ayrton piris da motta
* leandro atilio romagnoli
* leandro alexis navarro
* mathias corujo diaz
* luis ezequiel avila
* brian luis mieres
* sebastian marcelo blanco
* alvaro david montero perales
* hector daniel villalba
* pablo cesar barrientos
* pedro camilo franco ulloa
* fabricio gabriel pedrozo
* mario alberto yepes diaz
* gaston benitez
* alejandro brian barbaro
* sebastian emmanuel gonzalez valdez
* facundo buenavia
* leonardo neoren franco
* claudio matias mirabaje correa
* walter kannemann",43
san lorenzo de almagro,san lorenzo de almagro,"Jugadores del club san lorenzo de almagro:
* diego martin rodriguez berrini
* angel martin correa",44
san martin de san juan,san martin de san juan,"Jugadores del club san martin de san juan:
* andres fabricio romero
* gabriel manes
* enzo alejandro bruno",45
san martin san juan,san martin san juan,"Jugadores del club san martin san juan:
* luis emanuel ardente
* facundo adrian erpen
* juan francisco mattia
* fernando emanuel dening
* humberto segundo osorio botello
* matias oscar fissore
* martin ivan bravo
* fernando daniel brandan
* marcos agustin gelabert
* matias ariel sanchez
* gonzalo ruben castillejos
* gustavo alejandro villarruel
* claudio ezequiel mosca
* hernan nicolas da campo
* gonzalo sebastian prosperi
* arian benjamin pucheta
* leonardo andres corti
* diego daniel cardozo
* alex silva quiroga
* gianni daniel rodriguez fernandez
* jonatan esteban goitia
* nicolas franco pelaitay
* facundo desima
* martin luque
* pablo andres aguilar
* camilo damian candido aquino
* emiliano german aguero
* leandro sebastian vega
* felix banega
* cristian agustin parano rasguido
* federico urraburo
* maximiliano rodriguez maeso
* dante zacarias moran correa
* santiago chacon
* joaquin alejandro molina
* mauricio ferney casierra
* sergio sagarzazu
* lucas ezequiel salas
* raul quiroga
* maximiliano daniel alganaraz
* sebastian rusculleda
* javier alejandro capelli
* patricio martin matricardi
* franco martin lazzaroni
* daniel alejandro franco
* jorge luis luna vacca
* emilio exequiel hernandez hernandez
* arrinton narciso mina villalba
* leandro ivan barrera
* juan ezequiel garcia
* matias silva
* rodrigo armando alaniz
* pablo ernesto vitti
* maximiliano andres bustos
* gustavo pinedo zabala
* matias martin jones mourigian
* facundo pumpido
* mauro ramiro milano",46
san martin tucuman,san martin tucuman,"Jugadores del club san martin tucuman:
* alberto facundo costa
* jorge carlos carranza
* lucas martin diarte
* ramiro costa
* emiliano purita
* gonzalo emanuel rodriguez
* julian vitale
* rodrigo hernan petryk vidal
* ricardo ariel moreira
* maximiliano ramon martinez
* pedro nahuel fernandez
* nahuel raul menendez
* alejandro altuna
* gustavo abregu
* agustin prokop
* esteban matias gomez
* tomas federico
* patricio albornoz
* claudio daniel bieler
* lucas gonzalez
* juan mauricio jaime
* juan gines orellana
* matias cahais
* edgar fabian espindola
* fernando patricio cordero fonseca
* emiliano albin antognazza
* marcos daniel figueroa
* alvaro fernandez gay
* franco lautaro costa",47
sarmiento,sarmiento,"Jugadores del club sarmiento:
* lisandro lopez
* juan manuel insaurralde
* emiliano jorge ruben mendez
* javier fabian toledo
* jose agustin mauri
* gonzalo bettini
* guido mainero
* sebastian tomas meza
* luciano gondou
* lucas mauricio acosta
* franco sbuttoni
* juan cruz kaprof
* sergio quiroga
* franco agustin quinteros
* yair arismendi
* fernando martinez rojas
* jean pierre rosso genova
* juan emanuel hernandez rodriguez
* pablo gaston gerzel
* jonatan david gallardo
* federico paradela
* nicolas federico femia
* benjamin borasi
* manuel garcia
* luis yamil garnier
* gabriel diaz nunez
* jonathan torres
* federico andueza velazco
* manuel guanini
* josue daniel ayala
* julian brea
* facundo ferrero
* martin garcia
* jonathan guillermo nunez espinoza
* facundo castet
* joaquin cabrera
* federico vismara
* bruno enzo liuzzi
* joaquin gho
* manuel matias vicentini
* jose ignacio tomino
* juan caviglia
* gabriel maximiliano graciani
* federico mancinelli
* federico bravo
* nicolas bazzana
* patricio cucchi
* rodrigo javier salinas
* claudio martin pombo
* matias molina
* luis marcelo herrera
* fausto emanuel montero
* fermin antonini
* nicolas bianchi arce
* guillermo ferracutti
* francisco dutari
* patricio elias vidal
* lucas emmanuel perez godoy
* walter alejandro busse
* alan maximiliano aguirre
* hector luis cuevas
* javier nicolas burrai
* nicolas rinaldi
* daniel roberto garro
* maximiliano mendez
* ariel armando kippes
* federico pieretto
* joaquin vivani
* agustin pascucci
* jonathan santana ghere
* kevin bryan mercado mina
* matias emanuel lequi
* franco peppino
* juan ignacio lopez
* andres franzoia
* emanuel tripodi
* daniel alberto delgado
* mauro joel rodriguez
* israel emanuel coll
* franco david aguero
* marcos salvaggio
* esteban ciaccheri
* german espinazo
* pablo martin bangardino
* silvio oscar iuvale
* marcelo andres scatolaro gunther
* matias ignacio diaz
* juan manuel azil
* luis oscar quiroga
* federico gaston castro
* mario nahuel quiroga",48
talleres cordoba,talleres cordoba,"Jugadores del club talleres cordoba:
* francisco andres pizzini
* guido gabriel herrera
* diego luis valoyes ruiz
* enzo hernan diaz
* nahuel lautaro bustos
* rafael perez
* matias ezequiel catalan
* alan joaquin aguerre
* julio alberto buffarini
* michael nicolas santos rosadilla
* federico girotti bonazza
* angelo martino
* rodrigo roman villagra
* christian gabriel oliva gimenez
* rodrigo garro
* lucas matias suarez scalarea
* favio enrique alvarez
* francisco fabian alvarez
* alan steven franco palma
* gaston americo benavidez
* ulises ortegoza
* jose david romero
* gonzalo alvez
* juan cruz giacone
* tomas palacios
* franco nicolas fragueda
* fernando ezequiel juarez
* tomas bernardo cavanagh
* joaquin blazquez
* kevin pereira
* federico ezequiel torres
* matias rodrigo cordoba
* manuel ignacio lago
* cristian luduena
* junior gabriel arias cacerers
* gaston alberto torres
* laureano martinez
* renzo paparelli
* mateo jose mamani
* guilherme parede pinheiro
* facundo nahuel tenaglia
* carlos daniel auzqui
* piero martin hincapie reyna
* federico dario navarro
* fernando luis bersano
* franco rodrigo fragapane
* favio benjamin cabral
* marcos luis arturia
* javier marcelo gandolfi
* exequiel dario beltramone
* mauricio ariel caranta
* aldo andres araujo
* dayro mauricio moreno galindo
* catriel ignacio sanchez
* samuel alejandro sosa cordero
* adrian andres cubas
* facundo axel medina
* cristian romulo ojeda
* franco daniel malagueno
* mauro abrahan valiente
* ezequiel gaston mastrolia
* miguel gianpierre araujo blanco
* pablo horacio guinazu
* brian guillermo montenegro benitez
* alexis nahuel messidoro
* cristian ezequiel ramirez
* kevin andre humeler
* joao robin rojas mendoza
* gabriel omar ramirez
* giancarlo bianchini
* antoliano santiago moyano
* carlos andres munoz rojas
* gonzalo martin klusener
* guillermo gaston cotugno lima
* wilfredo olivera
* ivo facundo chaves
* agustin hernan diaz
* rodrigo ramon burgos oviedo
* okikiola afolabi
* daniel emmanuel luduena
* vicente jose matias vuoso
* hernan nicolas encina",49
temperley,temperley,"Jugadores del club temperley:
* gaston damian aguirre
* leonardo di lorenzo
* fabian miguel munoz
* ezequiel ariel montagna
* juan ignacio sanchez sotelo
* adrian miguel scifo
* ignacio boggino
* williams ismael riveros ibanez
* leandro carlos de bortoli
* santiago giordana
* sebastian alejandro martelli
* rodrigo facundo de ciancio
* mathias adalberto villasanti rolon
* gaspar gentile
* alexis lucas delgado
* agustin alejandro sosa
* julian eduardo lucero
* claudio dario salina
* franco capalbo
* franco andres sosa
* lucas javier mulazzi
* fernando asmar
* pablo salazar
* rodi david ferreira
* federico antunez
* rodrigo cordoba
* gaston rodas
* claudio luciano vazquez
* patricio nicolas romero
* ariel damian colzera
* nicolas fabian rodriguez
* javier raul fernandez
* rodrigo pascual viega alves
* diego ariel rojas
* lucas joaquin parodi cuello
* cristian martin palacios ferreira
* gonzalo matias rios
* ruben dario ramirez
* cristian ezequiel canuhe
* pablo vilchez
* nahuel ivan peralta
* rodrigo garcia
* alejandro javier frezzotti
* luis eduardo lopez
* mauro matias mallorca
* eduardo fabian ledesma trinidad
* gustavo javier aprile retta
* enzo adrian ruiz
* ignacio orona
* javier antonio grbec
* fabian hector sambueza
* federico ruben bruno",50
tigre,tigre,"Jugadores del club tigre:
* mateo retegui
* alexis castro
* lucas ariel menossi
* lucas blondel
* facundo colidio
* gonzalo marinelli
* leonardo sebastian prediger
* brian abel luciatti
* victor fernando cabrera
* agustin ezequiel cardozo
* tomas oscar badaloni
* blas esteban armoa nunez
* sebastian medina
* ijiel cesar protti
* sebastian nahuel prieto
* javier agustin obando
* brian alexis leizza
* martin sebastian galmarini
* cristian zabala
* agustin baldi
* martin ortega
* enzo roberto diaz morales
* felipe tomas zenobio
* gonzalo flores
* pablo daniel magnin
* nicolas agustin demartini
* manuel roffo
* diego alejandro sosa
* oscar camilo salomon
* juan ignacio cavallaro
* facundo daniel monteseirin
* franco ezequiel bustamante
* ezequiel alejandro rodriguez
* diego eugenio becker
* marco wolff
* facundo nicolas giacopuzzi
* jorge ivan bolano
* roman fernando martinez
* diego alberto morales
* carlos ariel luna
* nestor emanuel moiraghi
* ivo kestler
* facundo emmanuel melivillo
* pedro nicolas sansotre
* walter damian montillo
* diego daniel vera mendez
* ignacio canuto
* gerardo alcoba rebollo
* gaston guruceaga fagundez
* alexis jorge niz
* matias perez acuna
* laureano fernando nutz
* walter uriel mazzantti
* alberto cesar stegman
* matias ezequiel blengio
* federico javier crivelli
* maximiliano david gonzalez
* kevin federik ramirez dutra
* carlos emilio rodriguez rodriguez
* angel ezequiel garre
* daniel ernesto imperiale
* ivo hongn
* ramon nazareno mierez
* maximiliano andres diaz
* juan carlos blengio
* miguel nicolas bertochi
* rodrigo leonel depetris
* guillermo cosaro
* renzo spinaci
* lucas nicolas chacana
* lucas giuliano passerini
* esteban gabriel giambuzzi
* rodrigo daniel chao
* hamilton miguel pereira ferron
* santiago agustin villarreal
* fernando redondo
* gaspar emmanuel iniguez
* diego rafael castano
* emiliano nahuel ellacopulos
* ignacio bonadio
* diego martin gurri bentancor
* andres zanini
* sebastian balmaceda
* fernando javier lugo
* jorge marcelo rodriguez nunez
* horacio de dios orzan
* sebastian gerardo piriz ribas
* santiago izaguirre
* alejandro daniel rebola
* leandro julian garate
* sebastian ariel silguero
* jeronimo morales neumann
* ernesto goni ameijenda
* ramon daniel lescano
* mariano moscato
* ariel emmanuel pio
* gabriel martin penalba
* lucas vesco",51
union de santa fe,union de santa fe,"Jugadores del club union de santa fe:
* claudio guerra",52
union santa fe,union santa fe,"Jugadores del club union santa fe:
* sebastian emanuel moyano
* claudio gaston corvalan
* franco ezequiel calderon
* juan carlos portillo
* mauro luna diale
* martin ezequiel canete
* federico vera
* kevin andres zenon
* bryan david castrillon gomez
* francisco joel gerometta
* imanol machuca
* oscar piris
* enzo martin roldan
* lucas angel esquivel
* junior osvaldo marabel jara
* daniel eduardo juarez
* marcos hernan peano
* jorge gaston comas
* facundo aguero
* matias gabriel gallegos panozzo
* tomas gonzalez
* alessandro balbo
* nicolas paz
* diego gonzalez
* mateo del blanco
* gianfranco cabrera
* jeronimo domina
* juan luduena
* santiago andres mele castanero
* diego fabian polenta musetti
* jonatan daniel alvez sagar
* sebastian jaurena
* leonel bucca
* emanuel britez
* leonardo javier ramos
* gaston gonzalez
* nicolas ignacio penailillo acuna
* cristian geist
* federico bonansea
* franco lionel godoy milessi
* fernando andres marquez
* marco borgnino
* nicolas andereggen
* matias german nani
* pablo agustin palacio abaca
* jorge raul zules caicedo
* alberto sebastian assis silva
* fernando gaston elizari sedano
* lucas emanuel rios
* alfredo pussetto
* lisandro vladimir tablada
* lucas javier algozino
* jonathan brian david fleita
* oscar javier mendez albornoz
* braian gabriel alvarez
* santiago nicolas lebus
* alan daniel sosa
* yeimar pastor gomez andrade
* manuel ignacio de iriondo
* dario bottinelli
* guillermo andres mendez aguilera
* nereo ariel fernandez
* santiago zurbriggen
* joaquin matias papaleo
* walter german bracamonte
* matias ignacio garcia
* mariano gomez
* claudio ezequiel aquino
* luciano damian balbi
* matias fidel castro fuentes
* jose ariel nunez portelli
* mauro emiliano cejas
* facundo britos
* juan gabriel rivas
* lucas damian pruzzo
* diego armando godoy vazquez
* diego nicolas villar
* robertino insua
* santiago magallan
* rodrigo nahuel erramuspe
* diego martin rolle
* danilo ezequiel carando
* matias orlando fantin
* emir saul faccioli
* tomas bolzicco
* mariano augusto mauri
* geronimo felipe lissi
* facundo andres affranchino
* marcelo alejandro cardozo
* matias gaston castro
* jonatan gabriel tarquini",53
velez sarsfield,velez sarsfield,"Jugadores del club velez sarsfield:
* diego roberto godin leal
* lucas ezequiel janson
* lautaro daniel gianetti
* walter ariel bou
* francisco gabriel ortega
* leonardo fabian burian castro
* lucas david pratto
* luca nicolas orellano
* leonardo rafael jara
* gaston gomez
* santiago caseres
* matias de los santos de los santos
* jonathan diego menendez
* tomas ezequiel guidara
* juan ignacio mendez
* maximo perrone
* miguel marcelo brizuela
* nicolas garayalde
* valentin gomez
* jose ignacio florentin bobadilla
* mauro rodolfo pitton
* julian fernandez
* abiel osorio
* damian ariel fernandez
* roberto joaquin garcia
* mateo seoane
* matias nahuel borgogno
* santiago castro
* joel sonora
* lenny lobato
* agustin bouzat
* luis antonio amarilla lencina
* thiago ezequiel almada
* florian gonzalo de jesus monzon
* juan martin lucero
* federico andres mancuello
* ricardo gabriel alvarez
* enzo gabriel martinez suarez
* pablo ignacio galdames millan
* luis alfonso abram ugarelli
* alexander dominguez carabali
* hernan de la fuente
* emiliano javier amor
* jhonathan raphael ramis persincula
* marcos nahuel enrique
* facundo agustin caseres
* ramiro julian caseres
* nazareno daniel bazan vera
* hernan de la fuente
* fernando ruben gago
* lucas gaston robertone
* braian ezequiel cufre
* alvaro martin barreal
* mauricio toni
* emiliano bogado
* felipe nicolas di lena
* gaston claudio gimenez
* nicolas martin dominguez
* fabian alberto cubero
* matias ezequiel vargas martin
* yamil rodrigo asad
* alejo gaston montero
* gonzalo ezequiel rodriguez
* jesus jose david mendez
* fausto grillo
* gonzalo javier yordan
* tomas carlos figueroa
* jorge ivan correa
* fabricio oscar alvarenga
* favio alejandro duran
* gianluca mancuso
* eric emmanuel jerez
* santiago osmar stelcaldo
* juan emanuel lucero
* hernan barcos
* ramiro alexis rios
* leandro daniel somoza
* federico nahuel vazquez
* roberto antonio nanni
* rodolfo combe arriola
* alan cristian arario
* eduardo raul pucheta
* alejandro ariel cabral
* jairo david velez cedeno
* leandro yoel vera
* ivan alfredo chacon quiroz
* tiago paolo flores",54
